atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fy,In,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fz,In,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fmag,In,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
nn1_dist,In,4.0,2.524464052031638,2.524464052031638,2.524464052031638,2.9239561726031216,4.122432534317572,1.5979684822859341,2.524464052031638,2.9239561726031216,0.7989842411429671,0.3994921205714834,3.5231943534603465,1.925225871174413,2.000000000000001,4.000000000000007,A
fx,P,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fy,P,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fz,P,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fmag,P,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
nn1_dist,P,4.0,2.524464052031638,2.524464052031638,2.524464052031638,2.9239561726031216,4.122432534317571,1.5979684822859332,2.524464052031638,2.9239561726031216,0.7989842411429667,0.3994921205714834,3.5231943534603465,1.925225871174413,1.999999999999999,3.999999999999993,A
