atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,1042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fy,In,1042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fz,In,1042.0,-0.052141,0.0,0.0,0.0,0.00492,0.057061,0.0,-0.00046125335892514396,0.004055530196763663,0.0,0.0,0.0,-9.82875485864435,102.42510641731192,eV_per_A
fmag,In,1042.0,0.0,0.0,0.0,0.0,0.052141,0.052141,0.0,0.0004916218809980806,0.00405195754745762,0.0,0.0,0.0,9.840615896824438,102.4972228470961,eV_per_A
nn1_dist,In,1042.0,2.0524802069691197,2.3858999874261286,2.698064566394263,3.05,4.9426764004939665,2.890196193524847,2.698064566394263,2.914808370503105,0.735738552351486,0.6641000125738712,4.046150018860807,1.3897499685653218,1.1995930832062034,0.4577370413220203,A
fx,P,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fy,P,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fz,P,1038.0,-0.00492,0.0,0.0,0.0,0.052141,0.057061,0.0,0.00046303082851637765,0.0040632116040230995,0.0,0.0,0.0,9.809583457344628,102.0187725280295,eV_per_A
fmag,P,1038.0,0.0,0.0,0.0,0.0,0.052141,0.052141,0.0,0.0004925260115606937,0.004059738542868131,0.0,0.0,0.0,9.821286275461128,102.08805927422257,eV_per_A
nn1_dist,P,1038.0,2.0524802069691197,2.3858999874261286,2.7,3.05,4.942676400493967,2.8901961935248477,2.7,2.916037617007225,0.736888784559662,0.6641000125738712,4.046150018860807,1.3897499685653218,1.1938984725540647,0.4413248775202132,A
