group,fname,flags_thresh,flags_out,flags_natoms,flags_atomids,natoms,econfig,eatom,max_fmag,min_nn1_dist
Shear,InP_shear_1001.json,fmag>8 ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.9132812779999995,-0.86416,12.327069347709697,4.386240927445734
Shear,InP_shear_1001.json,fmag>8 nn1_dist_outside_2.0-4.5A ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.9132812779999995,-0.86416,12.327069347709697,4.386240927445734
Shear,InP_shear_1001.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.9132812779999995,-0.86416,12.327069347709697,4.386240927445734
Shear,InP_shear_1001.json,fz>8 fmag>8 ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.9132812779999995,-0.86416,12.327069347709697,4.386240927445734
Shear,InP_shear_101.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.792713017999997,-0.97409,10.998944522771536,4.333170901326188
Shear,InP_shear_101.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.792713017999997,-0.97409,10.998944522771536,4.333170901326188
Shear,InP_shear_1011.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.860794507999998,-0.9826,10.914578325754276,4.271783861386247
Shear,InP_shear_1011.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.860794507999998,-0.9826,10.914578325754276,4.271783861386247
Shear,InP_shear_1021.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.772822937999997,-0.9716,11.08333200740116,4.200129393733008
Shear,InP_shear_1021.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.772822937999997,-0.9716,11.08333200740116,4.200129393733008
Shear,InP_shear_1031.json,fmag>8 ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.834589028,-0.85432,12.550835335317885,4.153750302750516
Shear,InP_shear_1031.json,fmag>8 nn1_dist_outside_2.0-4.5A ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.834589028,-0.85432,12.550835335317885,4.153750302750516
Shear,InP_shear_1031.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.834589028,-0.85432,12.550835335317885,4.153750302750516
Shear,InP_shear_1031.json,fz>8 fmag>8 ,fz fmag,8,0 1 2 3 4 5 6 7,8,-6.834589028,-0.85432,12.550835335317885,4.153750302750516
Shear,InP_shear_1041.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.725123478,-0.96564,11.12854446198738,4.286966578642759
Shear,InP_shear_1041.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.725123478,-0.96564,11.12854446198738,4.286966578642759
Shear,InP_shear_1051.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.891587677999997,-0.98645,10.872478338581455,4.249962222526219
Shear,InP_shear_1051.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.891587677999997,-0.98645,10.872478338581455,4.249962222526219
Shear,InP_shear_1061.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.913457577999999,-0.98918,10.855563179117379,4.186028537993978
Shear,InP_shear_1061.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.913457577999999,-0.98918,10.855563179117379,4.186028537993978
Shear,InP_shear_1071.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.698542437999997,-0.96232,11.150393383329261,4.333030722254343
Shear,InP_shear_1071.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.698542437999997,-0.96232,11.150393383329261,4.333030722254343
Shear,InP_shear_1081.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.895650887999999,-0.98696,10.850284661980991,4.289438220979525
Shear,InP_shear_1081.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.895650887999999,-0.98696,10.850284661980991,4.289438220979525
Shear,InP_shear_1091.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.516370947999999,-0.93955,11.498907242405517,4.183168019683168
Shear,InP_shear_1091.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.516370947999999,-0.93955,11.498907242405517,4.183168019683168
Shear,InP_shear_11.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.857730728,-0.98222,10.93346956788672,4.235250755457107
Shear,InP_shear_11.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.857730728,-0.98222,10.93346956788672,4.235250755457107
Shear,InP_shear_1101.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.847671397999999,-0.98096,10.952768005098529,4.227432267890285
Shear,InP_shear_1101.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.847671397999999,-0.98096,10.952768005098529,4.227432267890285
Shear,InP_shear_111.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.925734267999999,-0.99072,10.839925152437585,4.15244407066489
