group,fname,natoms,econfig,eatom,elem1,elem2,num_elem1,num_elem2,conc_elem1,conc_elem2,stress_rowform,atom_id,atom_elem,x,y,z,fx,fy,fz,fmag,nn1_idx,nn1_elem,nn1_dist,flags_out,flags_thresh
Strain,InP_strain_1001.json,8,-27.814908257999996,-3.47686,In,P,4,4,50.0,50.0,-12568.11 0.0 0.0|0.0 -13210.61 0.0|0.0 0.0 857.26,0,In,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,In,4.11413196211546,fx fy fz fmag nn1_dist ,
Strain,InP_strain_1001.json,8,-27.814908257999996,-3.47686,In,P,4,4,50.0,50.0,-12568.11 0.0 0.0|0.0 -13210.61 0.0|0.0 0.0 857.26,1,In,2.95671,0.0,2.86076,0.0,0.0,0.0,0.0,5,P,2.53431145388644,fx fy fz fmag ,
Strain,InP_strain_1001.json,8,-27.814908257999996,-3.47686,In,P,4,4,50.0,50.0,-12568.11 0.0 0.0|0.0 -13210.61 0.0|0.0 0.0 857.26,2,In,0.0,2.96056,2.86076,0.0,0.0,0.0,0.0,6,P,2.534305612944106,fx fy fz fmag ,
Strain,InP_strain_1001.json,8,-27.814908257999996,-3.47686,In,P,4,4,50.0,50.0,-12568.11 0.0 0.0|0.0 -13210.61 0.0|0.0 0.0 857.26,3,In,2.95671,2.96056,0.0,0.0,0.0,0.0,0.0,6,P,2.5343114463104177,fx fy fz fmag ,
Strain,InP_strain_1001.json,8,-27.814908257999996,-3.47686,In,P,4,4,50.0,50.0,-12568.11 0.0 0.0|0.0 -13210.61 0.0|0.0 0.0 857.26,4,P,1.47835,1.48028,4.29115,0.0,0.0,0.0,0.0,2,In,2.534317097957554,fx fy fz fmag ,
Strain,InP_strain_1001.json,8,-27.814908257999996,-3.47686,In,P,4,4,50.0,50.0,-12568.11 0.0 0.0|0.0 -13210.61 0.0|0.0 0.0 857.26,5,P,4.435060000000001,1.48028,1.43038,0.0,0.0,0.0,0.0,1,In,2.53431145388644,fx fy fz fmag ,
Strain,InP_strain_1001.json,8,-27.814908257999996,-3.47686,In,P,4,4,50.0,50.0,-12568.11 0.0 0.0|0.0 -13210.61 0.0|0.0 0.0 857.26,6,P,1.47835,4.44083,1.43038,0.0,0.0,0.0,0.0,2,In,2.534305612944106,fx fy fz fmag ,
Strain,InP_strain_1001.json,8,-27.814908257999996,-3.47686,In,P,4,4,50.0,50.0,-12568.11 0.0 0.0|0.0 -13210.61 0.0|0.0 0.0 857.26,7,P,4.435060000000001,4.44083,4.29115,0.0,0.0,0.0,0.0,6,P,4.114138915617702,fx fy fz fmag nn1_dist ,
Strain,InP_strain_101.json,8,-26.790072887999997,-3.34876,In,P,4,4,50.0,50.0,-55811.48 0.0 0.0|0.0 -107459.06 0.0|0.0 0.0 -62247.07,0,In,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,In,4.194236209132719,fx fy fz fmag nn1_dist ,
Strain,InP_strain_101.json,8,-26.790072887999997,-3.34876,In,P,4,4,50.0,50.0,-55811.48 0.0 0.0|0.0 -107459.06 0.0|0.0 0.0 -62247.07,1,In,2.9365200000000002,0.0,2.9947399999999997,0.0,0.0,0.0,0.0,5,P,2.6564809719062548,fx fy fz fmag ,
Strain,InP_strain_101.json,8,-26.790072887999997,-3.34876,In,P,4,4,50.0,50.0,-55811.48 0.0 0.0|0.0 -107459.06 0.0|0.0 0.0 -62247.07,2,In,0.0,3.2612700000000006,2.9947399999999997,0.0,0.0,0.0,0.0,4,P,2.6564748335717394,fx fy fz fmag ,
Strain,InP_strain_101.json,8,-26.790072887999997,-3.34876,In,P,4,4,50.0,50.0,-55811.48 0.0 0.0|0.0 -107459.06 0.0|0.0 0.0 -62247.07,3,In,2.9365200000000002,3.2612700000000006,0.0,0.0,0.0,0.0,0.0,5,P,2.656474833571739,fx fy fz fmag ,
Strain,InP_strain_101.json,8,-26.790072887999997,-3.34876,In,P,4,4,50.0,50.0,-55811.48 0.0 0.0|0.0 -107459.06 0.0|0.0 0.0 -62247.07,4,P,1.4682600000000001,1.6306400000000003,4.492109999999999,0.0,0.0,0.0,0.0,2,In,2.6564748335717394,fx fy fz fmag ,
Strain,InP_strain_101.json,8,-26.790072887999997,-3.34876,In,P,4,4,50.0,50.0,-55811.48 0.0 0.0|0.0 -107459.06 0.0|0.0 0.0 -62247.07,5,P,4.40478,1.6306400000000003,1.4973699999999999,0.0,0.0,0.0,0.0,3,In,2.656474833571739,fx fy fz fmag ,
Strain,InP_strain_101.json,8,-26.790072887999997,-3.34876,In,P,4,4,50.0,50.0,-55811.48 0.0 0.0|0.0 -107459.06 0.0|0.0 0.0 -62247.07,6,P,1.4682600000000001,4.891910000000001,1.4973699999999999,0.0,0.0,0.0,0.0,2,In,2.656480971906255,fx fy fz fmag ,
Strain,InP_strain_101.json,8,-26.790072887999997,-3.34876,In,P,4,4,50.0,50.0,-55811.48 0.0 0.0|0.0 -107459.06 0.0|0.0 0.0 -62247.07,7,P,4.40478,4.891910000000001,4.492109999999999,0.0,0.0,0.0,0.0,6,P,4.194236209132718,fx fy fz fmag nn1_dist ,
Strain,InP_strain_1011.json,8,-27.034882728,-3.37936,In,P,4,4,50.0,50.0,-66759.05 0.0 0.0|0.0 -84880.25 0.0|0.0 0.0 -66011.65000000001,0,In,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,In,4.264577084424668,fx fy fz fmag nn1_dist ,
Strain,InP_strain_1011.json,8,-27.034882728,-3.37936,In,P,4,4,50.0,50.0,-66759.05 0.0 0.0|0.0 -84880.25 0.0|0.0 0.0 -66011.65000000001,1,In,3.0183899999999997,0.0,3.0126300000000006,0.0,0.0,0.0,0.0,5,P,2.646523774520078,fx fy fz fmag ,
Strain,InP_strain_1011.json,8,-27.034882728,-3.37936,In,P,4,4,50.0,50.0,-66759.05 0.0 0.0|0.0 -84880.25 0.0|0.0 0.0 -66011.65000000001,2,In,0.0,3.1352599999999997,3.0126300000000006,0.0,0.0,0.0,0.0,6,P,2.6465178511772796,fx fy fz fmag ,
Strain,InP_strain_1011.json,8,-27.034882728,-3.37936,In,P,4,4,50.0,50.0,-66759.05 0.0 0.0|0.0 -84880.25 0.0|0.0 0.0 -66011.65000000001,3,In,3.0183899999999997,3.1352599999999997,0.0,0.0,0.0,0.0,0.0,6,P,2.6465292454080314,fx fy fz fmag ,
Strain,InP_strain_1011.json,8,-27.034882728,-3.37936,In,P,4,4,50.0,50.0,-66759.05 0.0 0.0|0.0 -84880.25 0.0|0.0 0.0 -66011.65000000001,4,P,1.5091899999999998,1.5676299999999999,4.51895,0.0,0.0,0.0,0.0,2,In,2.6465294661877463,fx fy fz fmag ,
