atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fy,In,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fz,In,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fmag,In,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
nn1_dist,In,652.0,2.236075936747229,2.459939857110332,2.5491562471923923,2.972682681156172,4.476655296647264,2.240579359900035,2.5491562471923923,2.8697892553287967,0.6409741271339662,0.5127428240458403,3.7417969172249324,1.6908256210415715,1.1662088897797502,-0.4293784682714019,A
fx,P,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fy,P,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fz,P,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
fmag,P,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eV_per_A
nn1_dist,P,652.0,2.236075936747229,2.459939857110332,2.5491592688454894,2.972682681156172,4.476655296647264,2.240579359900035,2.5491592688454894,2.869789437009586,0.6409738639215743,0.5127428240458403,3.7417969172249324,1.6908256210415715,1.1662095473345886,-0.42937562339581214,A
