atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,5886.0,-0.39416,-0.00158,4e-05,0.001675,0.44026,0.8344199999999999,4e-05,0.00020689041794087662,0.021274818574825216,0.003255,0.0065575,-0.0064624999999999995,4.146013720946983,203.79170174488135,eV_per_A
fy,In,5886.0,-0.39416,-0.00158,4e-05,0.001675,0.44026,0.8344199999999999,4e-05,0.0002068904179408766,0.021274818574825216,0.003255,0.0065575,-0.0064624999999999995,4.146013720946983,203.79170174488132,eV_per_A
fz,In,5886.0,-0.547019,-0.001918,4.9e-05,0.002043,0.44026,0.987279,4.9e-05,0.0003800953109072375,0.024353632334409882,0.003961,0.0079845,-0.0078595,2.5504293604458677,218.7238393378204,eV_per_A
fmag,In,5886.0,0.0,0.0020736178529324055,0.003917851834870737,0.007489988184236341,0.7625526885402739,0.7625526885402739,0.003917851834870737,0.010161026052068322,0.037353732652332,0.005416370331303936,0.015614543681192245,-0.006050937644023499,12.64048230271417,199.7538479439655,eV_per_A
nn1_dist,In,5886.0,2.478579219048685,2.5309233445362946,2.5327612814673226,2.533781559422955,2.708653806007699,0.23007458695901395,2.5327612814673226,2.5318704307360407,0.014580185946344174,0.002858214886660271,2.5380688817529453,2.5266360222063042,7.809409129893205,82.52778740268003,A
fx,P,5778.0,-0.058349,-0.00142,0.0,0.0013154999999999998,0.052593,0.110942,0.0,-0.0002107435098650052,0.007377571822384402,0.0027355,0.00541875,-0.00552325,-0.6643572041089425,17.551423289688422,eV_per_A
fy,P,5778.0,-0.058349,-0.00142,0.0,0.0013154999999999998,0.052593,0.110942,0.0,-0.0002107435098650052,0.007377571822384401,0.0027355,0.00541875,-0.00552325,-0.6643572041089425,17.55142328968843,eV_per_A
fz,P,5778.0,-0.058349,-0.00183,0.0,0.00155,0.040351,0.0987,0.0,-0.0003871872620283835,0.007118551820782493,0.00338,0.00662,-0.0069,-1.1993313734900493,16.1025457004601,eV_per_A
fmag,P,5778.0,0.0,0.0017417379251770343,0.003489853578590368,0.00680478979327881,0.07800856647189461,0.07800856647189461,0.003489853578590368,0.006808671226468598,0.010649115668386,0.005063051868101776,0.014399367595431475,-0.00585283987697563,3.735766613148671,16.041098837142886,eV_per_A
nn1_dist,P,5778.0,2.478579219048685,2.5314496419047012,2.5327612814673226,2.5340406310278345,2.5542225535767233,0.07564333452803851,2.5327612814673226,2.530905470208118,0.006688913407280612,0.0025909891231332693,2.5379271147125344,2.5275631582200013,-3.171806404297342,14.900407565487424,A
