atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,2247.0,-2.250514,-0.001091,0.0,0.001431,5.794081,8.044595000000001,0.0,0.0007220934579439256,0.2553906842883816,0.002522,0.005214,-0.004874,4.941085597846821,141.36817568954564,eV_per_A
fy,In,2247.0,-2.247623,-0.0010975,0.0,0.001421,5.773483,8.021106,0.0,0.0009685932354250117,0.2515362480303526,0.0025185,0.00519875,-0.004875249999999999,4.583838346184433,145.8621140772312,eV_per_A
fz,In,2247.0,-2.247623,-0.0010975,0.0,0.001421,5.773483,8.021106,0.0,0.0009685932354250114,0.2515362480303526,0.0025185,0.00519875,-0.004875249999999999,4.583838346184434,145.8621140772312,eV_per_A
fmag,In,2247.0,0.0,0.001315557296357707,0.003064614005058386,0.007513536384419789,5.882501807972778,5.882501807972778,0.003064614005058386,0.11201276976578178,0.4233383064354032,0.006197979088062082,0.016810505016512912,-0.007981411335735416,6.1254609298968505,55.86647599316909,eV_per_A
nn1_dist,In,2247.0,2.259021456870209,2.5336242829196283,2.534605390114996,2.535213707410423,2.611514598121175,0.352493141250966,2.534605390114996,2.5329942232633145,0.015542992430809335,0.0015894244907945776,2.5375978441466147,2.5312401461834364,-11.21309966830583,185.3559051714618,A
fx,P,2289.0,-1.854302,-0.001462,3.1e-05,0.001346,1.196001,3.050303,3.1e-05,-0.0007088361730013094,0.19764720383525522,0.0028079999999999997,0.005558,-0.005673999999999999,-1.8272008851014794,31.725311681672448,eV_per_A
fy,P,2289.0,-1.873509,-0.00151,2.9e-05,0.001336,1.519556,3.393065,2.9e-05,-0.000950813018785495,0.19582210765740893,0.002846,0.005605000000000001,-0.005779,-1.3009189819752969,33.02126633948316,eV_per_A
fz,P,2289.0,-1.873509,-0.00151,2.9e-05,0.001336,1.519556,3.393065,2.9e-05,-0.0009508130187854958,0.19582210765740893,0.002846,0.005605000000000001,-0.005779,-1.3009189819752975,33.02126633948317,eV_per_A
fmag,P,2289.0,0.0,0.0011811862681220097,0.003220206204577589,0.008798818102449897,1.8736864964905415,1.8736864964905415,0.003220206204577589,0.09426054253919455,0.32691037184870664,0.007617631834327888,0.02022526585394173,-0.010245261483369822,3.840871152955896,13.499841208912965,eV_per_A
nn1_dist,P,2289.0,2.282499862059141,2.5333883886013218,2.534330987124608,2.535134702456657,2.588837167706768,0.30633730564762685,2.534330987124608,2.5255863860464975,0.03564471642116503,0.001746313855335302,2.53775417323966,2.530768917818319,-4.648341816488266,22.679142827949924,A
