group,fname,natoms,econfig,eatom,elem1,elem2,num_elem1,num_elem2,conc_elem1,conc_elem2,stress_rowform,atom_id,atom_elem,x,y,z,fx,fy,fz,fmag,nn1_idx,nn1_elem,nn1_dist,flags_out,flags_thresh
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,0,In,8.84114,8.84114,8.84114,0.337392,0.337392,0.337392,0.5843800860672786,108,P,2.530474268333905,fx fy fz fmag ,
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,1,In,10.311779999999999,7.3221099999999995,7.3221099999999995,0.29298,-0.324516,-0.324516,0.544480072098144,113,P,2.5381359554996257,fx fy fz fmag ,
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,2,In,7.3221099999999995,10.311779999999999,7.3221099999999995,-0.324516,0.29298,-0.324516,0.544480072098144,116,P,2.5381359554996257,fx fy fz fmag ,
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,3,In,7.3221099999999995,7.3221099999999995,10.311779999999999,-0.324516,-0.324516,0.29298,0.544480072098144,115,P,2.5381359554996257,fx fy fz fmag ,
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,4,In,13.11495,10.17928,7.344989999999999,-0.009026,0.025546,0.003185,0.027280231249019866,112,P,2.516136763333822,fx fy fmag nn1_dist ,
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,5,In,13.11495,7.344989999999999,10.17928,-0.009026,0.003185,0.025546,0.027280231249019866,113,P,2.516136763333822,fx fz fmag nn1_dist ,
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,6,In,10.17928,13.11495,7.344989999999999,0.025546,-0.009026,0.003185,0.027280231249019866,114,P,2.516136763333822,fx fy fmag nn1_dist ,
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,7,In,10.17928,7.344989999999999,13.11495,0.025546,0.003185,-0.009026,0.027280231249019866,115,P,2.516136763333822,fx fz fmag nn1_dist ,
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,8,In,7.344989999999999,13.11495,10.17928,0.003185,-0.009026,0.025546,0.027280231249019866,116,P,2.516136763333822,fy fz fmag nn1_dist ,
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,9,In,7.344989999999999,10.17928,13.11495,0.003185,0.025546,-0.009026,0.027280231249019866,117,P,2.516136763333822,fy fz fmag nn1_dist ,
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,10,In,10.24382,10.24382,4.39164,0.000235,0.000235,-0.002275,0.0022991465807990583,112,P,2.5342156061393046,,
aa,aa_0_C3v_tdA_sc3k2cl_d0lda1.json,216,-748.7405385559991,-3.46639,In,P,108,108,50.0,50.0,-9004.11 -57.72 -57.72|-57.72 -9004.11 -57.72|-57.72 -57.72 -9004.11,11,In,10.24382,4.39164,10.24382,0.000235,-0.002275,0.000235,0.0022991465807990583,113,P,2.5342156061393046,,
