atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,2160.0,-0.324516,-0.001643,-0.000179,0.001497,0.337392,0.661908,-0.000179,-0.00015552129629629627,0.02071788540268049,0.00314,0.006207,-0.006352999999999999,-0.5780939532437017,213.0898207387479,eV_per_A
fy,In,2160.0,-0.324516,-0.001643,-0.000179,0.001497,0.337392,0.661908,-0.000179,-0.00015552129629629616,0.02071788540268049,0.00314,0.006207,-0.006352999999999999,-0.5780939532437017,213.08982073874787,eV_per_A
fz,In,2160.0,-0.324516,-0.001643,-0.000179,0.001497,0.337392,0.661908,-0.000179,-0.00015552129629629622,0.02071788540268049,0.00314,0.006207,-0.006352999999999999,-0.5780939532437029,213.08982073874785,eV_per_A
fmag,In,2160.0,0.0001872057691418723,0.0020993836438423135,0.00325702103155629,0.005231435444772162,0.5843800860672786,0.5841928802981368,0.00325702103155629,0.007367907096163375,0.03512055981691806,0.0031320518009298488,0.009929513146166935,-0.0025986940575524597,14.404485299819193,218.66832926536244,eV_per_A
nn1_dist,In,2160.0,2.4938067527376697,2.5300268650623567,2.532204731750574,2.5338087372372837,2.5381359554996257,0.044329202761955955,2.532204731750574,2.5295400446299294,0.006884409328491863,0.0037818721749269812,2.539481545499674,2.5243540567999663,-1.6382760396156513,1.9814873218444204,A
fx,P,2160.0,-0.050001,-0.001341,4.45e-05,0.00141625,0.086641,0.13664199999999999,4.45e-05,0.00015550092592592595,0.007080249509005469,0.00275725,0.005552125000000001,-0.005476875000000001,1.8932472395920288,42.69207327112366,eV_per_A
fy,P,2160.0,-0.050001,-0.001341,4.45e-05,0.00141625,0.086641,0.13664199999999999,4.45e-05,0.000155500925925926,0.007080249509005469,0.00275725,0.005552125000000001,-0.005476875000000001,1.8932472395920281,42.69207327112366,eV_per_A
fz,P,2160.0,-0.050001,-0.001341,4.45e-05,0.00141625,0.086641,0.13664199999999999,4.45e-05,0.00015550092592592592,0.007080249509005469,0.00275725,0.005552125000000001,-0.005476875000000001,1.8932472395920281,42.69207327112366,eV_per_A
fmag,P,2160.0,6.581793068761734e-05,0.0017179828287849678,0.003053173431038597,0.005636334355708705,0.1500666140185751,0.1500007960878875,0.003053173431038597,0.005679744835150152,0.010871427288012714,0.003918351526923738,0.011513861646094312,-0.004159544461600639,6.258086472708781,52.74313492635804,eV_per_A
nn1_dist,P,2160.0,2.2630143640286517,2.5270980204574567,2.532559287795648,2.534325507644982,2.5370576980825637,0.2740433340539119,2.532559287795648,2.520722693850521,0.050202778077106665,0.0072274871875253055,2.54516673842627,2.5162567896761687,-4.7914540434704,21.35819437983266,A
