group,fname,natoms,econfig,eatom,elem1,elem2,num_elem1,num_elem2,conc_elem1,conc_elem2,stress_rowform,atom_id,atom_elem,x,y,z,fx,fy,fz,fmag,nn1_idx,nn1_elem,nn1_dist,flags_out,flags_thresh
iIn,iIn_0_001iD2d_tdC_sc3k2cl_d0lda1.json,217,-752.0605671730145,-3.46572,In,P,109,108,50.23,49.77,-4902.59 0.0 0.0|0.0 -4902.59 0.0|0.0 0.0 -1423.38,0,In,8.78064,8.78064,10.0225,0.0,0.0,1.117175,1.117175,109,P,2.4734968085081466,fz fmag nn1_dist ,
iIn,iIn_0_001iD2d_tdC_sc3k2cl_d0lda1.json,217,-752.0605671730145,-3.46572,In,P,109,108,50.23,49.77,-4902.59 0.0 0.0|0.0 -4902.59 0.0|0.0 0.0 -1423.38,1,In,8.78064,8.78064,7.53878,0.0,0.0,-1.117175,1.117175,110,P,2.473506366052046,fz fmag nn1_dist ,
iIn,iIn_0_001iD2d_tdC_sc3k2cl_d0lda1.json,217,-752.0605671730145,-3.46572,In,P,109,108,50.23,49.77,-4902.59 0.0 0.0|0.0 -4902.59 0.0|0.0 0.0 -1423.38,2,In,11.665199999999999,11.665199999999999,8.78513,-0.002091,-0.002091,0.022105,0.022301918908470636,115,P,2.5400092111053456,fz fmag nn1_dist ,
iIn,iIn_0_001iD2d_tdC_sc3k2cl_d0lda1.json,217,-752.0605671730145,-3.46572,In,P,109,108,50.23,49.77,-4902.59 0.0 0.0|0.0 -4902.59 0.0|0.0 0.0 -1423.38,3,In,11.866549999999998,8.74181,11.9047,-0.025555,-0.01745,-0.004734,0.03130449298423471,126,P,2.494951842901985,fx fy fmag nn1_dist ,
iIn,iIn_0_001iD2d_tdC_sc3k2cl_d0lda1.json,217,-752.0605671730145,-3.46572,In,P,109,108,50.23,49.77,-4902.59 0.0 0.0|0.0 -4902.59 0.0|0.0 0.0 -1423.38,4,In,8.74181,11.866549999999998,11.9047,-0.01745,-0.025555,-0.004734,0.03130449298423471,127,P,2.494951842901985,fx fy fmag nn1_dist ,
iIn,iIn_0_001iD2d_tdC_sc3k2cl_d0lda1.json,217,-752.0605671730145,-3.46572,In,P,109,108,50.23,49.77,-4902.59 0.0 0.0|0.0 -4902.59 0.0|0.0 0.0 -1423.38,5,In,11.866549999999998,8.819469999999999,5.656569999999999,-0.025555,0.01745,0.004734,0.03130449298423471,128,P,2.494946323370505,fx fy fz fmag nn1_dist ,
iIn,iIn_0_001iD2d_tdC_sc3k2cl_d0lda1.json,217,-752.0605671730145,-3.46572,In,P,109,108,50.23,49.77,-4902.59 0.0 0.0|0.0 -4902.59 0.0|0.0 0.0 -1423.38,6,In,11.665199999999999,5.896069999999999,8.77614,-0.002091,0.002091,-0.022105,0.022301918908470636,120,P,2.5400033424781143,fz fmag nn1_dist ,
iIn,iIn_0_001iD2d_tdC_sc3k2cl_d0lda1.json,217,-752.0605671730145,-3.46572,In,P,109,108,50.23,49.77,-4902.59 0.0 0.0|0.0 -4902.59 0.0|0.0 0.0 -1423.38,7,In,8.819469999999999,11.866549999999998,5.656569999999999,0.01745,-0.025555,0.004734,0.03130449298423471,130,P,2.494946323370505,fx fy fz fmag nn1_dist ,
iIn,iIn_0_001iD2d_tdC_sc3k2cl_d0lda1.json,217,-752.0605671730145,-3.46572,In,P,109,108,50.23,49.77,-4902.59 0.0 0.0|0.0 -4902.59 0.0|0.0 0.0 -1423.38,8,In,8.819469999999999,5.694719999999999,11.9047,0.01745,0.025555,-0.004734,0.03130449298423471,132,P,2.4949518429019824,fx fy fmag nn1_dist ,
iIn,iIn_0_001iD2d_tdC_sc3k2cl_d0lda1.json,217,-752.0605671730145,-3.46572,In,P,109,108,50.23,49.77,-4902.59 0.0 0.0|0.0 -4902.59 0.0|0.0 0.0 -1423.38,9,In,5.896069999999999,11.665199999999999,8.77614,0.002091,-0.002091,-0.022105,0.022301918908470636,121,P,2.5400033424781143,fz fmag nn1_dist ,
