atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,4469.0,-0.333682,-0.000949,0.0,0.001012,0.429866,0.763548,0.0,0.00012870328932647134,0.0171038246628818,0.001961,0.0039535,-0.0038905,6.388599907427062,304.3082013256246,eV_per_A
fy,In,4469.0,-0.333682,-0.000949,0.0,0.001012,0.429866,0.763548,0.0,0.0001287032893264713,0.0171038246628818,0.001961,0.0039535,-0.0038905,6.388599907427061,304.3082013256247,eV_per_A
fz,In,4469.0,-1.117175,-0.001247,0.0,0.001096,1.117175,2.23435,0.0,0.00026418259118371,0.031358880575654294,0.002343,0.0046105,-0.0047615,-1.5133257239428892,788.8325709106045,eV_per_A
fmag,In,4469.0,0.0,0.0013463970439658577,0.002300338235999219,0.005021266075403693,1.117175,1.117175,0.002300338235999219,0.0072487544101782425,0.03893594446056462,0.003674869031437835,0.010533569622560444,-0.004165906503190894,17.936075888515585,398.5095923835433,eV_per_A
nn1_dist,In,4469.0,2.3849,2.528134108171479,2.530946163018882,2.5327697503128843,2.5818070959697974,0.19690709596979739,2.530946163018882,2.5270690361146384,0.012753501966166168,0.004635642141405327,2.5397232135249923,2.521180644959371,-4.358758292366599,29.940183781024754,A
fx,P,4428.0,-0.103267,-0.000951,0.0,0.00092325,0.066949,0.17021599999999998,0.0,-0.00012989814814814816,0.006318695906166986,0.00187425,0.003734625,-0.003762375,-3.3888625752854042,79.5320403160836,eV_per_A
fy,P,4428.0,-0.103267,-0.000951,0.0,0.00092325,0.066949,0.17021599999999998,0.0,-0.00012989814814814814,0.006318695906166986,0.00187425,0.003734625,-0.003762375,-3.3888625752854034,79.5320403160836,eV_per_A
fz,P,4428.0,-0.266445,-0.001049,-4.9e-05,0.00092075,0.083798,0.35024299999999997,-4.9e-05,-0.00026662172538392055,0.008454362326846458,0.00196975,0.0038753750000000003,-0.004003625,-13.241523844407089,354.32975640994385,eV_per_A
fmag,P,4428.0,5.9e-05,0.0012007868253774271,0.002157265933491642,0.0036972862266759295,0.266445,0.266386,0.002157265933491642,0.004623268458431732,0.0114040999938006,0.0024964994012985024,0.0074420353286236834,-0.0025439622765703264,10.593844005529201,166.3657406582981,eV_per_A
nn1_dist,P,4428.0,2.3849,2.528134108171479,2.5308495803978537,2.532401545351763,2.5606106312752814,0.17571063127528141,2.5308495803978537,2.526671386727781,0.013545139911148677,0.004267437180283995,2.538802701122189,2.521732952401053,-4.091965129445853,24.733200026332938,A
