atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,10800.0,-0.09833,-0.0008892500000000001,0.0,0.000887,0.09556,0.19389,0.0,3.3888888888888884e-06,0.004139640981482195,0.00177625,0.003551375,-0.0035536250000000004,0.18292354249087464,109.66540163847577,eV_per_A
fy,In,10800.0,-0.09833,-0.000892,0.0,0.00088225,0.09556,0.19389,0.0,6.205000000000001e-06,0.004121442104265214,0.00177425,0.003543625,-0.003553375,0.08972312550753052,110.36676323815433,eV_per_A
fz,In,10800.0,-0.169565,-0.000945,0.0,0.000997,0.114323,0.283888,0.0,8.641759259259272e-06,0.004269222716525048,0.0019420000000000001,0.00391,-0.0038580000000000003,-5.332873351061085,370.81727893498373,eV_per_A
fmag,In,10800.0,0.0,0.0011184640133929274,0.0019938530364758183,0.003872568269249749,0.18113042649704106,0.18113042649704106,0.0019938530364758183,0.0036029106724884716,0.006274323261463779,0.0027541042558568217,0.00800372465303498,-0.003012692370392305,9.238393192061464,141.31584798514004,eV_per_A
nn1_dist,In,10800.0,2.376660000000001,2.528321655921177,2.5319167496977473,2.533254466827208,4.84903879470973,2.472378794709729,2.5319167496977473,2.5436098521254227,0.15720167047907002,0.004932810906030927,2.540653683186254,2.5209224395621304,10.809214328788821,118.50403025086177,A
fx,P,10900.0,-0.077655,-0.00080725,0.0,0.00080325,0.067894,0.14554899999999998,0.0,-3.3494495412844024e-06,0.004045895369035389,0.0016105,0.003219,-0.003223,-0.7609052992143807,89.11375687541445,eV_per_A
fy,P,10900.0,-0.077655,-0.000803,0.0,0.0007952500000000001,0.067045,0.1447,0.0,-6.136972477064221e-06,0.004048576782149467,0.00159825,0.003192625,-0.003200375,-0.7246964996367556,87.85841317046258,eV_per_A
fz,P,10900.0,-0.103975,-0.000854,0.0,0.000859,0.109684,0.213659,0.0,-8.561559633027526e-06,0.0045672971148868835,0.0017130000000000001,0.0034285,-0.0034235000000000003,1.177315324152313,154.47656276405792,eV_per_A
fmag,P,10900.0,0.0,0.001041569008755541,0.001868791588166,0.003320448915432972,0.1203137672670921,0.1203137672670921,0.001868791588166,0.0034246846997512967,0.006472327790611885,0.002278879906677431,0.006738768775449119,-0.002376750851260606,8.002518182114725,92.89742113393093,eV_per_A
nn1_dist,P,10900.0,2.047720000000001,2.5275601146362483,2.531548824198342,2.532764342077644,4.136009032497389,2.0882890324973884,2.531548824198342,2.5264277746268826,0.08267801778883742,0.0052042274413954814,2.540570683239737,2.519753773474155,13.985457289633755,290.6459069948461,A
