atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,3993.0,-0.440334,-0.004188,4.9e-05,0.00397,0.484915,0.925249,4.9e-05,0.001009586776859504,0.03261485059535395,0.008157999999999999,0.016207,-0.016425,3.064418580490446,66.17887012572606,eV_per_A
fy,In,3993.0,-0.440334,-0.004188,4.9e-05,0.00397,0.484915,0.925249,4.9e-05,0.0010095867768595043,0.03261485059535395,0.008157999999999999,0.016207,-0.016425,3.0644185804904445,66.17887012572602,eV_per_A
fz,In,3993.0,-0.688256,-0.004713,0.000152,0.004701,0.484915,1.173171,0.000152,0.0013448522414224898,0.03954107006764479,0.009414,0.018822000000000002,-0.018834000000000004,1.5702651877509313,61.90526912395727,eV_per_A
fmag,In,3993.0,5.196152422706632e-06,0.004587991935476783,0.010072803532284347,0.024415260658039267,0.8398974173522621,0.8398922211998394,0.010072803532284347,0.025377171862869304,0.055232591179311716,0.019827268722562484,0.05415616374188299,-0.025152911148366944,6.964281208873322,66.35130144923916,eV_per_A
nn1_dist,In,3993.0,2.4233769431931145,2.51911108524416,2.531065054260756,2.5326906748949813,2.706167479259182,0.2827905360660674,2.531065054260756,2.5354530146229344,0.03992687452989011,0.01357958965082151,2.5530600593712136,2.4987417007679276,3.453892809358587,11.165156098055835,A
fx,P,3751.0,-0.491507,-0.0039629999999999995,0.000163,0.004032,0.188992,0.680499,0.000163,-0.0010747219408157825,0.024332264694691474,0.007994999999999999,0.016024499999999997,-0.015955499999999997,-6.774281133075455,106.23933095671408,eV_per_A
fy,P,3751.0,-0.491507,-0.0039629999999999995,0.000163,0.004032,0.188992,0.680499,0.000163,-0.0010747219408157825,0.024332264694691474,0.007994999999999999,0.016024499999999997,-0.015955499999999997,-6.774281133075455,106.23933095671408,eV_per_A
fz,P,3751.0,-0.494958,-0.004974,-7.7e-05,0.0043185,0.197994,0.692952,-7.7e-05,-0.0014316150359904023,0.02720441531713611,0.0092925,0.01825725,-0.01891275,-5.754121652279179,79.40118657258607,eV_per_A
fmag,P,3751.0,0.00017232817529353695,0.004376148649211998,0.009604684325890154,0.02502170795529354,0.7511473057370305,0.7509749775617369,0.009604684325890154,0.02086718121226628,0.038639407253191344,0.020645559306081543,0.05599004691441585,-0.026592190309910314,8.376582607586728,107.88259533727175,eV_per_A
nn1_dist,P,3751.0,2.4233769431931145,2.520855105316109,2.528993801203413,2.5312612196009185,2.582757582759172,0.15938063956605752,2.528993801203413,2.525965907102568,0.008492140594461038,0.010406114284809753,2.546870391028133,2.505245933888894,-2.142293873275653,17.300616158654435,A
