group,fname,natoms,econfig,eatom,elem1,elem2,num_elem1,num_elem2,conc_elem1,conc_elem2,stress_rowform,atom_id,atom_elem,x,y,z,fx,fy,fz,fmag,nn1_idx,nn1_elem,nn1_dist,flags_out,flags_thresh
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,0,In,11.58307,11.58307,8.78506,-0.031606,-0.031606,0.022197,0.04990576400577392,32,P,2.588837167706767,nn1_dist ,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,1,In,11.58307,8.78506,11.58307,-0.031606,0.022197,-0.031606,0.04990576400577392,32,P,2.588837167706767,nn1_dist ,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,2,In,8.78506,11.58307,11.58307,0.022197,-0.031606,-0.031606,0.04990576400577392,32,P,2.588837167706767,nn1_dist ,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,3,In,0.03799,8.81161,5.86818,-0.022552,0.029325,-0.018102,0.041185321814937906,36,P,2.5164955658415153,,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,4,In,0.03799,5.86818,8.81161,-0.022552,-0.018102,0.029325,0.041185321814937906,37,P,2.5164955658415153,,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,5,In,8.81161,0.03799,5.86818,0.029325,-0.022552,-0.018102,0.041185321814937906,38,P,2.5164955658415153,,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,6,In,8.81161,5.86818,0.03799,0.029325,-0.018102,-0.022552,0.041185321814937906,39,P,2.5164955658415153,,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,7,In,5.86818,0.03799,8.81161,-0.018102,-0.022552,0.029325,0.041185321814937906,40,P,2.5164955658415153,,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,8,In,5.86818,8.81161,0.03799,-0.018102,0.029325,-0.022552,0.041185321814937906,41,P,2.5164955658415153,,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,9,In,8.81031,5.901190000000001,5.901190000000001,-0.011801,-0.021572,-0.021572,0.032710334284442893,45,P,2.535835138549033,,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,10,In,5.901190000000001,8.81031,5.901190000000001,-0.021572,-0.011801,-0.021572,0.032710334284442893,45,P,2.535835138549033,,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,11,In,5.901190000000001,5.901190000000001,8.81031,-0.021572,-0.021572,-0.011801,0.032710334284442893,46,P,2.535835138549033,,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,12,In,2.9354600000000004,8.780410000000002,8.780410000000002,0.03763,0.048468,0.048468,0.07819405954418787,47,P,2.5243039742075446,fy fz ,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,13,In,8.780410000000002,2.9354600000000004,8.780410000000002,0.048468,0.03763,0.048468,0.07819405954418787,46,P,2.5243039742075446,fx fz ,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,14,In,8.780410000000002,8.780410000000002,2.9354600000000004,0.048468,0.048468,0.03763,0.07819405954418787,45,P,2.5243039742075446,fx fy ,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,15,In,2.8951100000000003,11.69631,11.69631,0.119972,0.064869,0.064869,0.15102733231438606,44,P,2.5411931161759425,fx fy fz ,
s_aP,aP_0_C3vTS_tdC_sc3k2cl_d0lda1.json,64,-216.4218626519691,-3.38159,In,P,31,33,48.44,51.56,-14312.42 -2455.37 -2455.37|-2455.37 -14312.42 -2455.37|-2455.37 -2455.37 -14312.42,16,In,11.69631,2.8951100000000003,11.69631,0.064869,0.119972,0.064869,0.15102733231438606,43,P,2.5411931161759425,fx fy fz ,
