atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,2232.0,-0.244866,-0.00803775,0.00033,0.01279,0.232587,0.477453,0.00033,0.0077797813620071685,0.05770701186158761,0.02082775,0.044031625,-0.039279375,0.3777009807261208,2.8612992100307,eV_per_A
fy,In,2232.0,-0.244866,-0.00803775,0.00033,0.01279,0.232587,0.477453,0.00033,0.0077797813620071685,0.05770701186158761,0.02082775,0.044031625,-0.039279375,0.3777009807261208,2.8612992100307,eV_per_A
fz,In,2232.0,-0.244866,-0.00803775,0.00033,0.01279,0.232587,0.477453,0.00033,0.007779781362007167,0.05770701186158761,0.02082775,0.044031625,-0.039279375,0.37770098072612107,2.8612992100306984,eV_per_A
fmag,In,2232.0,0.00015068842025849232,0.006532430941081582,0.020780721522603587,0.09319935039473182,0.3650695448637149,0.3649188564434564,0.020780721522603587,0.06206521639086811,0.07948670535937609,0.08666691945365024,0.22319972957520717,-0.12346794823939378,1.4626177901380526,1.090398696223951,eV_per_A
nn1_dist,In,2232.0,2.503790718630453,2.5255294474822514,2.532873212342064,2.535763996333255,2.588837167706767,0.08504644907631409,2.532873212342064,2.531573266007078,0.010847999941123109,0.010234548851003833,2.5511158196097607,2.5101776242057454,0.8622409873718393,4.597991348318223,A
fx,P,2376.0,-0.293988,-0.01225725,-0.0002525,0.008101,0.784875,1.0788630000000001,-0.0002525,-0.007308270202020201,0.09582802680150362,0.02035825,0.038638375,-0.042794625,1.520254024690672,12.430799100751418,eV_per_A
fy,P,2376.0,-0.293988,-0.01225725,-0.0002525,0.008101,0.784875,1.0788630000000001,-0.0002525,-0.007308270202020201,0.09582802680150362,0.02035825,0.038638375,-0.042794625,1.520254024690672,12.430799100751415,eV_per_A
fz,P,2376.0,-0.293988,-0.01225725,-0.0002525,0.008101,0.784875,1.0788630000000001,-0.0002525,-0.007308270202020203,0.09582802680150362,0.02035825,0.038638375,-0.042794625,1.520254024690672,12.430799100751415,eV_per_A
fmag,P,2376.0,7.274613391789285e-05,0.0058033257706249786,0.022294392696823963,0.14367453584478967,1.3594433775906225,1.3593706314567047,0.022294392696823963,0.08986794953067666,0.14010597128554636,0.1378712100741647,0.3504813509560367,-0.20100348934062207,3.0145006013145053,14.856797121145764,eV_per_A
nn1_dist,P,2376.0,2.255278352731653,2.5207639383392677,2.5324595415867743,2.5353446454035145,2.588837167706767,0.3335588149751141,2.5324595415867743,2.50891000734139,0.06415548663377665,0.014580707064246745,2.5572157059998846,2.4988928777428976,-2.672370848848668,6.318953182099537,A
