atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,576.0,-0.289567,-0.00408,-0.000231,0.002865,0.32346,0.613027,-0.000231,0.00018445138888888914,0.03386844188779871,0.006945,0.0132825,-0.0144975,0.9131798934207168,47.12310380319465,eV_per_A
fy,In,576.0,-0.289567,-0.00408,-0.000231,0.002865,0.32346,0.613027,-0.000231,0.0001844513888888889,0.03386844188779871,0.006945,0.0132825,-0.0144975,0.9131798934207171,47.12310380319464,eV_per_A
fz,In,576.0,-0.289567,-0.00408,-0.000231,0.002865,0.32346,0.613027,-0.000231,0.00018445138888888916,0.03386844188779871,0.006945,0.0132825,-0.0144975,0.9131798934207168,47.12310380319464,eV_per_A
fmag,In,576.0,0.00025287941790505606,0.003617230796831609,0.007565675845554051,0.018931501736523703,0.5602491542162291,0.559996274798324,0.007565675845554051,0.022444116945297618,0.05419134488054717,0.015314270939692095,0.041902908146061846,-0.019354175612706533,6.570114843131601,52.826225726261924,eV_per_A
nn1_dist,In,576.0,2.4906445200790897,2.5175826960399936,2.5251667388841317,2.5354397976913616,2.5593827773312845,0.06873825725219485,2.5251667388841317,2.5246789622115,0.014924590749560953,0.017857101651368,2.5622254501684134,2.4907970435629414,0.2414597079106621,-0.2596485758734812,A
fx,P,576.0,-0.15089,-0.003469,-0.00011800000000000001,0.003157,0.28668,0.43757,-0.00011800000000000001,-0.00018446527777777767,0.02353839115632922,0.006626,0.013096,-0.013408,2.359780270221654,49.76595493343395,eV_per_A
fy,P,576.0,-0.15089,-0.003469,-0.00011800000000000001,0.003157,0.28668,0.43757,-0.00011800000000000001,-0.00018446527777777778,0.02353839115632922,0.006626,0.013096,-0.013408,2.359780270221654,49.76595493343396,eV_per_A
fz,P,576.0,-0.15089,-0.003469,-0.00011800000000000001,0.003157,0.28668,0.43757,-0.00011800000000000001,-0.00018446527777777778,0.02353839115632922,0.006626,0.013096,-0.013408,2.359780270221654,49.76595493343395,eV_per_A
fmag,P,576.0,7.006425622241343e-05,0.0034640208031355944,0.006639411570312539,0.019754430819438965,0.28729017904898874,0.2872201147927663,0.006639411570312539,0.01940156099197616,0.03584961117142814,0.01629041001630337,0.04419004584389402,-0.020971594221319462,4.403522037484543,23.20066051376524,eV_per_A
nn1_dist,P,576.0,2.2672218925151535,2.5053511143550327,2.523015670451213,2.530541065852508,2.5674813767776383,0.30025948426248483,2.523015670451213,2.4965728140135894,0.08781342811926932,0.02518995149747516,2.5683259930987203,2.4675661871088197,-2.045185813712135,2.6438838049027225,A
