group,fname,natoms,econfig,eatom,elem1,elem2,num_elem1,num_elem2,conc_elem1,conc_elem2,stress_rowform,atom_id,atom_elem,x,y,z,fx,fy,fz,fmag,nn1_idx,nn1_elem,nn1_dist,flags_out,flags_thresh
s_iIn,iIn_0_p001pCs_tdA_sc3k2cl_d0lda30.json,65,-223.7779089710151,-3.44274,In,P,33,32,50.77,49.23,4291.5599999999995 3376.64 2785.18|3376.64 4291.5599999999995 2785.18|2785.18 2785.18 3969.9,0,In,9.00589,9.00589,9.30753,-0.003392,-0.003392,-0.004041,0.006272241146512147,33,P,2.420241324248473,nn1_dist ,
s_iIn,iIn_0_p001pCs_tdA_sc3k2cl_d0lda30.json,65,-223.7779089710151,-3.44274,In,P,33,32,50.77,49.23,4291.5599999999995 3376.64 2785.18|3376.64 4291.5599999999995 2785.18|2785.18 2785.18 3969.9,1,In,10.622880000000002,10.622880000000002,10.56667,0.002732,0.002732,0.006109,0.0072282452227355985,0,In,2.6105070120189313,nn1_dist ,
s_iIn,iIn_0_p001pCs_tdA_sc3k2cl_d0lda30.json,65,-223.7779089710151,-3.44274,In,P,33,32,50.77,49.23,4291.5599999999995 3376.64 2785.18|3376.64 4291.5599999999995 2785.18|2785.18 2785.18 3969.9,2,In,10.30003,7.205890000000001,7.165960000000001,-0.003059,0.001735,0.001703,0.003907417945395655,38,P,2.5323828821092604,,
s_iIn,iIn_0_p001pCs_tdA_sc3k2cl_d0lda30.json,65,-223.7779089710151,-3.44274,In,P,33,32,50.77,49.23,4291.5599999999995 3376.64 2785.18|3376.64 4291.5599999999995 2785.18|2785.18 2785.18 3969.9,3,In,7.205890000000001,10.30003,7.165960000000001,0.001735,-0.003059,0.001703,0.003907417945395655,41,P,2.5323828821092604,,
s_iIn,iIn_0_p001pCs_tdA_sc3k2cl_d0lda30.json,65,-223.7779089710151,-3.44274,In,P,33,32,50.77,49.23,4291.5599999999995 3376.64 2785.18|3376.64 4291.5599999999995 2785.18|2785.18 2785.18 3969.9,4,In,7.159810000000001,7.159810000000001,10.316190000000002,0.004131,0.004131,-0.00612,0.008460775496371475,45,P,2.5130403578335168,,
s_iIn,iIn_0_p001pCs_tdA_sc3k2cl_d0lda30.json,65,-223.7779089710151,-3.44274,In,P,33,32,50.77,49.23,4291.5599999999995 3376.64 2785.18|3376.64 4291.5599999999995 2785.18|2785.18 2785.18 3969.9,5,In,1.4849300000000003,10.24382,7.329430000000001,0.000426,-0.000369,0.000313,0.0006446751119750164,46,P,2.5229293192041675,,
s_iIn,iIn_0_p001pCs_tdA_sc3k2cl_d0lda30.json,65,-223.7779089710151,-3.44274,In,P,33,32,50.77,49.23,4291.5599999999995 3376.64 2785.18|3376.64 4291.5599999999995 2785.18|2785.18 2785.18 3969.9,6,In,1.4734000000000003,7.337140000000001,10.246980000000002,0.00284,-0.000403,0.001206,0.0031116627387941646,46,P,2.5255699897448887,,
s_iIn,iIn_0_p001pCs_tdA_sc3k2cl_d0lda30.json,65,-223.7779089710151,-3.44274,In,P,33,32,50.77,49.23,4291.5599999999995 3376.64 2785.18|3376.64 4291.5599999999995 2785.18|2785.18 2785.18 3969.9,7,In,10.24382,1.4849300000000003,7.329430000000001,-0.000369,0.000426,0.000313,0.0006446751119750164,47,P,2.5229293192041675,,
s_iIn,iIn_0_p001pCs_tdA_sc3k2cl_d0lda30.json,65,-223.7779089710151,-3.44274,In,P,33,32,50.77,49.23,4291.5599999999995 3376.64 2785.18|3376.64 4291.5599999999995 2785.18|2785.18 2785.18 3969.9,8,In,10.23361,7.33426,1.46174,0.00084,-0.002478,0.003453,0.004332354209895585,48,P,2.526192738905724,,
s_iIn,iIn_0_p001pCs_tdA_sc3k2cl_d0lda30.json,65,-223.7779089710151,-3.44274,In,P,33,32,50.77,49.23,4291.5599999999995 3376.64 2785.18|3376.64 4291.5599999999995 2785.18|2785.18 2785.18 3969.9,9,In,7.337140000000001,1.4734000000000003,10.246980000000002,-0.000403,0.00284,0.001206,0.0031116627387941646,47,P,2.5255699897448887,,
