atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,10784.0,-0.406084,-0.004522,-7e-05,0.004316,0.906501,1.312585,-7e-05,0.0001282148553412463,0.035481188116526785,0.008838,0.017573000000000002,-0.017779000000000003,4.008445366283009,122.39996595962162,eV_per_A
fy,In,10784.0,-0.648298,-0.004354,-8e-06,0.00428825,0.906501,1.554799,-8e-06,0.00010612935830860525,0.03541745854356189,0.00864225,0.017251625,-0.017317375000000003,3.131025957438912,127.64732489224764,eV_per_A
fz,In,10784.0,-0.649119,-0.00538525,-1e-05,0.005313,0.94381,1.592929,-1e-05,0.0002330376483679527,0.04103996769868997,0.01069825,0.021360375,-0.021432625,3.2229156424769574,103.90289813192013,eV_per_A
fmag,In,10784.0,3.733630940518894e-05,0.004767279729090546,0.010634745653297053,0.026769982330961672,1.5919376376296905,1.5919003013202853,0.010634745653297053,0.027074665834062553,0.05886056858642432,0.02200270260187113,0.05977403623376837,-0.028236774173716152,8.71236191964609,124.8344970042345,eV_per_A
nn1_dist,In,10784.0,2.3461083003135204,2.515170512196162,2.5252088724400448,2.529654059570201,4.781096112075138,2.434987811761618,2.5252088724400448,2.5323409805964876,0.148902320955999,0.01448354737403923,2.5513793806312597,2.4934451911351028,12.689420755723061,167.77188188817993,A
fx,P,11121.0,-1.005922,-0.004575,-5.5e-05,0.004191,0.415371,1.421293,-5.5e-05,-0.0001243258699757216,0.03126775562255559,0.008766,0.01734,-0.017724,-5.354292544432983,182.7862888191881,eV_per_A
fy,P,11121.0,-1.005922,-0.004447,-5.4e-05,0.004124,0.415371,1.421293,-5.4e-05,-0.0001029103497886881,0.031221080163047654,0.008571,0.0169805,-0.0173035,-5.322185084604648,185.79583667649723,eV_per_A
fz,P,11121.0,-0.780164,-0.00525,-6.2e-05,0.005121,0.577811,1.357975,-6.2e-05,-0.0002259704163294668,0.03845222230808188,0.010371,0.0206775,-0.020806500000000002,-2.5364289567691842,98.97159811664521,eV_per_A
fmag,P,11121.0,6.928203230275509e-06,0.0047487919516441225,0.010569560539587255,0.025990364406833544,1.6224715735765602,1.62246464537333,0.010569560539587255,0.02553247691069311,0.05271729226464213,0.02124157245518942,0.05785272308961767,-0.027113566731140005,9.260340760101764,153.32639099977067,eV_per_A
nn1_dist,P,11121.0,2.039500038440793,2.5085164544208194,2.5226028962165246,2.528818006539814,4.090529165902622,2.0510291274618293,2.5226028962165246,2.5026026391396483,0.0959163527314839,0.020301552118994426,2.5592703347183052,2.4780641262423275,4.021460239296308,100.25657506910837,A
