group,fname,flags_thresh,flags_out,flags_natoms,flags_atomids,natoms,econfig,eatom,max_fmag,min_nn1_dist
s_iP,iP_0_TipTd_tiA_sc3k2cl_d0lda28.json,nn1_dist_outside_2.0-4.5A ,nn1_dist,1,6,65,-220.2520428689844,-3.38849,0.02168874021237748,4.781096112075138
s_iP,iP_0_TipTd_tiA_sc3k2cl_d0lda29.json,nn1_dist_outside_2.0-4.5A ,nn1_dist,1,6,65,-220.2522910789844,-3.3885,0.018378791119113357,4.778640164188972
s_iP,iP_0_TipTd_tiA_sc3k2cl_d0lda30.json,nn1_dist_outside_2.0-4.5A ,nn1_dist,1,6,65,-220.2534278289844,-3.38851,0.003304752940841418,4.777314913254098
s_iP,iP_0_TipTd_tiA_sc3k2cl_d0lda31.json,nn1_dist_outside_2.0-4.5A ,fx fy nn1_dist,1,6,65,-220.25389320898444,-3.38852,0.03252271801372081,4.775574222059585
s_iP,iP_0_TipTd_tiA_sc3k2cl_d0lda32.json,nn1_dist_outside_2.0-4.5A ,fx fy nn1_dist,1,6,65,-220.25503639898443,-3.38854,0.036974088589172824,4.771023617359277
s_iP,iP_0_TipTd_tiA_sc3k2cl_d0lda33.json,nn1_dist_outside_2.0-4.5A ,fx fy fz nn1_dist,1,6,65,-220.25543177898442,-3.38855,0.042052461556964765,4.765067908613685
s_iP,iP_0_TipTd_tiA_sc3k2cl_d0lda34.json,nn1_dist_outside_2.0-4.5A ,fx fy fz nn1_dist,1,6,65,-220.2561614889844,-3.38856,0.03932621358585136,4.761640749605118
s_iP,iP_0_TipTd_tiA_sc3k2cl_d0lda35.json,nn1_dist_outside_2.0-4.5A ,fx fy nn1_dist,1,6,65,-220.2580102189844,-3.38858,0.030818380019073034,4.751418130768959
s_iP,iP_0_TipTd_tiA_sc3k2cl_d0lda36.json,nn1_dist_outside_2.0-4.5A ,nn1_dist,1,6,65,-220.26032152898443,-3.38862,0.01309776820683585,4.730964167778065
s_iP,iP_0_TipTd_tiA_sc3k2cl_d0lda37.json,nn1_dist_outside_2.0-4.5A ,fx fy nn1_dist,1,6,65,-220.25862965898443,-3.38859,0.030837432577956292,4.690086501249204
