atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,527.0,-0.078869,-0.005917,-0.000339,0.007129,0.244558,0.323427,-0.000339,0.002348091081593928,0.029802856456280585,0.013046,0.026698,-0.025486,4.062119943639226,26.48106378505341,eV_per_A
fy,In,527.0,-0.078869,-0.005917,-0.000339,0.007129,0.244558,0.323427,-0.000339,0.002348091081593928,0.029802856456280585,0.013046,0.026698,-0.025486,4.062119943639226,26.48106378505341,eV_per_A
fz,In,527.0,-0.078869,-0.005917,-0.000339,0.007129,0.244558,0.323427,-0.000339,0.002348091081593928,0.02980285645628059,0.013046,0.026698,-0.025486,4.0621199436392255,26.481063785053404,eV_per_A
fmag,In,527.0,0.000523079343885801,0.00526117154253689,0.016605131586350044,0.03695446694244148,0.2881864616771579,0.2876633823332721,0.016605131586350044,0.028583625114906613,0.043158149850048545,0.031693295399904585,0.08449441004229835,-0.04227877155731998,3.544391776225624,14.679167476135973,eV_per_A
nn1_dist,In,527.0,2.531291960679368,2.535948850943173,2.537904074467749,2.540886611775504,2.5607795881723203,0.029487627492952306,2.537904074467749,2.5389599142586654,0.00516931037360547,0.004937760832330884,2.548293253024,2.5285422096946766,1.341084817551575,2.6816375071230047,A
fx,P,544.0,-0.170695,-0.00731825,-0.00045149999999999997,0.00408225,0.069423,0.240118,-0.00045149999999999997,-0.0022747095588235293,0.027372832851111018,0.011400500000000001,0.021183,-0.024419000000000003,-2.4576900699410946,14.294536938736352,eV_per_A
fy,P,544.0,-0.170695,-0.00731825,-0.00045149999999999997,0.00408225,0.069423,0.240118,-0.00045149999999999997,-0.0022747095588235293,0.027372832851111018,0.011400500000000001,0.021183,-0.024419000000000003,-2.4576900699410946,14.294536938736352,eV_per_A
fz,P,544.0,-0.170695,-0.00731825,-0.00045149999999999997,0.00408225,0.069423,0.240118,-0.00045149999999999997,-0.002274709558823529,0.027372832851111018,0.011400500000000001,0.021183,-0.024419000000000003,-2.457690069941095,14.294536938736352,eV_per_A
fmag,P,544.0,0.0005282754963085076,0.005015410417457506,0.015084751835418589,0.037844207707388985,0.23482486660488067,0.23429659110857215,0.015084751835418589,0.029274306363476204,0.037480717423618706,0.03282879728993148,0.0870874036422862,-0.044227785517439715,2.4986806261598464,7.617614527649012,eV_per_A
nn1_dist,P,544.0,2.531291960679368,2.5369263639491004,2.539591817201048,2.5412431228239463,2.5601492035816986,0.028857242902330604,2.539591817201048,2.540156321535224,0.005310589488104387,0.0043167588748458385,2.547718261136215,2.5304512256368317,1.2664049750848048,1.7942025374431778,A
