group,fname,natoms,econfig,eatom,elem1,elem2,num_elem1,num_elem2,conc_elem1,conc_elem2,stress_rowform,atom_id,atom_elem,x,y,z,fx,fy,fz,fmag,nn1_idx,nn1_elem,nn1_dist,flags_out,flags_thresh
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,0,In,10.04183,10.04183,10.04183,0.041877,0.041877,0.041877,0.07253309166856187,32,P,2.5817953311794484,fx fy fz fmag nn1_dist ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,1,In,10.10104,7.476320000000001,7.476320000000001,0.034284,-0.022289,-0.022289,0.04657243495888958,35,P,2.5687348779895536,fx fy nn1_dist ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,2,In,7.476320000000001,10.10104,7.476320000000001,-0.022289,0.034284,-0.022289,0.04657243495888958,37,P,2.5687348779895536,fx fy nn1_dist ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,3,In,7.476320000000001,7.476320000000001,10.10104,-0.022289,-0.022289,0.034284,0.04657243495888958,38,P,2.568734877989553,fx fy fz nn1_dist ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,4,In,1.4505500000000002,10.24891,7.31198,0.021423,-0.032421,0.036984,0.05364589850119019,50,P,2.53365401183745,fx fy fz fmag ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,5,In,1.4505500000000002,7.31198,10.24891,0.021423,0.036984,-0.032421,0.05364589850119019,52,P,2.53365401183745,fx fy fz fmag ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,6,In,10.24891,1.4505500000000002,7.31198,-0.032421,0.021423,0.036984,0.05364589850119019,51,P,2.53365401183745,fx fy fz fmag ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,7,In,10.24891,7.31198,1.4505500000000002,-0.032421,0.036984,0.021423,0.05364589850119019,53,P,2.5336540118374504,fx fy fmag ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,8,In,7.31198,1.4505500000000002,10.24891,0.036984,0.021423,-0.032421,0.05364589850119019,54,P,2.53365401183745,fx fy fz fmag ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,9,In,7.31198,10.24891,1.4505500000000002,0.036984,-0.032421,0.021423,0.05364589850119019,55,P,2.5336540118374504,fx fy fmag ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,10,In,10.24668,10.24668,4.39645,-0.085221,-0.085221,-0.070431,0.13959141607921313,49,P,2.5290309830446933,fx fy fz fmag ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,11,In,10.24668,4.39645,10.24668,-0.085221,-0.070431,-0.085221,0.13959141607921313,48,P,2.5290309830446933,fx fy fz fmag ,
s_vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,63,-218.12206841901514,-3.46226,In,P,32,31,50.79,49.21,-16755.13 -1004.27 -1004.27|-1004.27 -16755.13 -1004.27|-1004.27 -1004.27 -16755.13,12,In,4.39645,10.24668,10.24668,-0.070431,-0.085221,-0.085221,0.13959141607921313,47,P,2.5290309830446933,fx fy fz fmag ,
