atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,2464.0,-0.369511,-0.0050522499999999994,-0.000189,0.004748,0.225442,0.594953,-0.000189,-0.0011396156655844153,0.03331090397038197,0.00980025,0.019448375,-0.019752625,-3.5691967072074546,40.79319267575457,eV_per_A
fy,In,2464.0,-0.369511,-0.0050522499999999994,-0.000189,0.004748,0.225442,0.594953,-0.000189,-0.001139615665584416,0.03331090397038197,0.00980025,0.019448375,-0.019752625,-3.5691967072074537,40.793192675754554,eV_per_A
fz,In,2464.0,-0.203584,-0.005618,0.000121,0.005675,0.169504,0.373088,0.000121,4.028530844155839e-05,0.02068994764438952,0.011293000000000001,0.022614500000000003,-0.0225575,-0.025024137831538854,27.350410273358303,eV_per_A
fmag,In,2464.0,0.0010085623431399767,0.006198380397976157,0.011696279579421825,0.022654728044248194,0.5436617138285534,0.5426531514854135,0.011696279579421825,0.02526237634644285,0.04484930253079647,0.01645634764627204,0.047339249513656256,-0.0184861410714319,5.3728627714150505,39.09410081860591,eV_per_A
nn1_dist,In,2464.0,2.4798136249928135,2.534833704565253,2.5365258723184727,2.541476428655624,2.621835043895782,0.1420214189029685,2.5365258723184727,2.541044207011443,0.011801128752565029,0.006642724090371033,2.5514405147911807,2.5248696184296966,1.762903194512022,7.1908535362402874,A
fx,P,2387.0,-0.237053,-0.004995,0.000185,0.0052595,0.383038,0.620091,0.000185,0.0011764042731462088,0.02693057815203843,0.0102545,0.02064125,-0.02037675,4.318325121493106,58.28898020981,eV_per_A
fy,P,2387.0,-0.237053,-0.004995,0.000185,0.0052595,0.383038,0.620091,0.000185,0.0011764042731462088,0.026930578152038427,0.0102545,0.02064125,-0.02037675,4.318325121493106,58.28898020981,eV_per_A
fz,P,2387.0,-0.232838,-0.004301,-0.000361,0.004373,0.214974,0.447812,-0.000361,-4.156640134059482e-05,0.02093252857930644,0.008674000000000001,0.017384000000000004,-0.017312,-1.3279459429524332,43.96202854040727,eV_per_A
fmag,P,2387.0,0.00014376021702821681,0.006315313499528392,0.011111621213846339,0.022465532421912463,0.5680685240989858,0.5679247638819576,0.011111621213846339,0.021844909495828926,0.037603902770536,0.016150218922384073,0.04669086080548857,-0.01791001488404772,6.555908096624003,63.612333509231334,eV_per_A
nn1_dist,P,2387.0,2.4798136249928135,2.5344343317987166,2.5364872222426076,2.5408899026915748,2.637982942856153,0.15816931786333965,2.5364872222426076,2.5416373208584724,0.01626176939448797,0.006455570892858198,2.550573259030862,2.5247509754594293,2.997426884402375,12.094079238186124,A
