group,fname,natoms,econfig,eatom,elem1,elem2,num_elem1,num_elem2,conc_elem1,conc_elem2,stress_rowform,atom_id,atom_elem,x,y,z,fx,fy,fz,fmag,nn1_idx,nn1_elem,nn1_dist,flags_out,flags_thresh
vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,215,-746.9329003510145,-3.47411,In,P,108,107,50.23,49.77,-11459.12 -98.34 -98.34|-98.34 -11459.12 -98.34|-98.34 -98.34 -11459.12,0,In,10.041829999999997,10.041829999999997,10.041829999999997,0.04105,0.04105,0.04105,0.07110068565070242,108,P,2.5817953311794506,fx fy fz fmag nn1_dist ,
vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,215,-746.9329003510145,-3.47411,In,P,108,107,50.23,49.77,-11459.12 -98.34 -98.34|-98.34 -11459.12 -98.34|-98.34 -98.34 -11459.12,1,In,10.10104,7.476319999999999,7.476319999999999,0.039827,-0.034437,-0.034437,0.06291266857318961,111,P,2.5687348779895522,fx fy fz fmag nn1_dist ,
vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,215,-746.9329003510145,-3.47411,In,P,108,107,50.23,49.77,-11459.12 -98.34 -98.34|-98.34 -11459.12 -98.34|-98.34 -98.34 -11459.12,2,In,7.476319999999999,10.10104,7.476319999999999,-0.034437,0.039827,-0.034437,0.06291266857318961,113,P,2.5687348779895522,fx fy fz fmag nn1_dist ,
vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,215,-746.9329003510145,-3.47411,In,P,108,107,50.23,49.77,-11459.12 -98.34 -98.34|-98.34 -11459.12 -98.34|-98.34 -98.34 -11459.12,3,In,7.476319999999999,7.476319999999999,10.10104,-0.034437,-0.034437,0.039827,0.06291266857318961,114,P,2.5687348779895527,fx fy fz fmag nn1_dist ,
vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,215,-746.9329003510145,-3.47411,In,P,108,107,50.23,49.77,-11459.12 -98.34 -98.34|-98.34 -11459.12 -98.34|-98.34 -98.34 -11459.12,4,In,13.158069999999999,10.24891,7.31198,0.00472,-0.008807,0.001256,0.01007070926002732,108,P,2.530838423368824,fy ,
vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,215,-746.9329003510145,-3.47411,In,P,108,107,50.23,49.77,-11459.12 -98.34 -98.34|-98.34 -11459.12 -98.34|-98.34 -98.34 -11459.12,5,In,13.158069999999999,7.31198,10.24891,0.00472,0.001256,-0.008807,0.01007070926002732,109,P,2.530838423368824,fz ,
vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,215,-746.9329003510145,-3.47411,In,P,108,107,50.23,49.77,-11459.12 -98.34 -98.34|-98.34 -11459.12 -98.34|-98.34 -98.34 -11459.12,6,In,10.24891,13.158069999999999,7.31198,-0.008807,0.00472,0.001256,0.01007070926002732,108,P,2.530838423368824,fx ,
vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,215,-746.9329003510145,-3.47411,In,P,108,107,50.23,49.77,-11459.12 -98.34 -98.34|-98.34 -11459.12 -98.34|-98.34 -98.34 -11459.12,7,In,10.24891,7.31198,13.158069999999999,-0.008807,0.001256,0.00472,0.01007070926002732,109,P,2.530838423368824,fx ,
vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,215,-746.9329003510145,-3.47411,In,P,108,107,50.23,49.77,-11459.12 -98.34 -98.34|-98.34 -11459.12 -98.34|-98.34 -98.34 -11459.12,8,In,7.31198,13.158069999999999,10.24891,0.001256,0.00472,-0.008807,0.01007070926002732,110,P,2.530838423368824,fz ,
vP,vP_0_C3v_tdA_sc3k2cl_d0lda1.json,215,-746.9329003510145,-3.47411,In,P,108,107,50.23,49.77,-11459.12 -98.34 -98.34|-98.34 -11459.12 -98.34|-98.34 -98.34 -11459.12,9,In,7.31198,10.24891,13.158069999999999,0.001256,-0.008807,0.00472,0.01007070926002732,110,P,2.530838423368824,fy ,
