atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,1080.0,-0.034437,-0.001379,6.549999999999999e-05,0.00144925,0.04105,0.075487,6.549999999999999e-05,-2.4937962962962976e-05,0.004481310703650648,0.00282825,0.005691625,-0.005621375,0.7803958790888772,28.491965586052608,eV_per_A
fy,In,1080.0,-0.034437,-0.001379,6.549999999999999e-05,0.00144925,0.04105,0.075487,6.549999999999999e-05,-2.4937962962962976e-05,0.004481310703650648,0.00282825,0.005691625,-0.005621375,0.7803958790888774,28.491965586052615,eV_per_A
fz,In,1080.0,-0.034437,-0.001379,6.549999999999999e-05,0.00144925,0.04105,0.075487,6.549999999999999e-05,-2.4937962962962955e-05,0.004481310703650648,0.00282825,0.005691625,-0.005621375,0.7803958790888772,28.491965586052608,eV_per_A
fmag,In,1080.0,0.00015596153371905523,0.0017137245986447178,0.0031705444327433732,0.0057602687437306255,0.07110068565070242,0.07094472411698337,0.0031705444327433732,0.004709083463398968,0.006168653448558838,0.004046544145085908,0.011830084961359486,-0.004356091618984144,6.080551793177873,50.70503691185788,eV_per_A
nn1_dist,In,1080.0,2.530285710547327,2.5325930026588184,2.534813786099482,2.5363534628675066,2.5817953311794506,0.05150962063212372,2.534813786099482,2.5358824594527825,0.006731347721808389,0.0037604602086882544,2.5419941531805392,2.526952312345786,4.117019151259289,18.644103236500925,A
fx,P,1070.0,-0.019701,-0.0012255,-2.1e-05,0.00119,0.019281,0.038982,-2.1e-05,2.5197196261682226e-05,0.003701541673278752,0.0024155,0.00481325,-0.004848750000000001,0.03970092013668563,7.158624740033952,eV_per_A
fy,P,1070.0,-0.019701,-0.0012255,-2.1e-05,0.00119,0.019281,0.038982,-2.1e-05,2.5197196261682232e-05,0.0037015416732787514,0.0024155,0.00481325,-0.004848750000000001,0.0397009201366856,7.1586247400339555,eV_per_A
fz,P,1070.0,-0.019701,-0.0012255,-2.1e-05,0.00119,0.019281,0.038982,-2.1e-05,2.5197196261682256e-05,0.0037015416732787514,0.0024155,0.00481325,-0.004848750000000001,0.039700920136685657,7.1586247400339555,eV_per_A
fmag,P,1070.0,5.36935750346352e-05,0.0015498577354067051,0.002925814416534309,0.005382385623494475,0.029257536652972,0.029203843077937365,0.002925814416534309,0.004337172401002828,0.004719902270085276,0.0038325278880877696,0.01113117745562613,-0.00419893409672495,2.638480611937701,8.017735708966145,eV_per_A
nn1_dist,P,1070.0,2.530285710547327,2.532596591030633,2.5349620123583727,2.5361680823439126,2.5441191672561247,0.013833456708797875,2.5349620123583727,2.534606815971072,0.00242573354831894,0.0035714913132793846,2.5415253193138314,2.527239354060714,0.9939198634990289,2.983916388127924,A
