group,fname,natoms,econfig,eatom,elem1,elem2,num_elem1,num_elem2,conc_elem1,conc_elem2,stress_rowform,atom_id,atom_elem,x,y,z,fx,fy,fz,fmag,nn1_idx,nn1_elem,nn1_dist,flags_out,flags_thresh
vv,vv_0_C3v_tdA_sc3k2cl_d0lda1.json,214,-739.5816939939991,-3.45599,In,P,107,107,50.0,50.0,-14365.07 1346.47 1346.47|1346.47 -14365.07 1346.47|1346.47 1346.47 -14365.07,0,In,9.970659999999999,7.46499,7.46499,0.030591,-0.022959,-0.022959,0.04460987158690327,116,P,2.5568315215711808,fx fy fz fmag nn1_dist ,
vv,vv_0_C3v_tdA_sc3k2cl_d0lda1.json,214,-739.5816939939991,-3.45599,In,P,107,107,50.0,50.0,-14365.07 1346.47 1346.47|1346.47 -14365.07 1346.47|1346.47 1346.47 -14365.07,1,In,7.46499,9.970659999999999,7.46499,-0.022959,0.030591,-0.022959,0.04460987158690327,117,P,2.5568315215711808,fx fy fz fmag nn1_dist ,
vv,vv_0_C3v_tdA_sc3k2cl_d0lda1.json,214,-739.5816939939991,-3.45599,In,P,107,107,50.0,50.0,-14365.07 1346.47 1346.47|1346.47 -14365.07 1346.47|1346.47 1346.47 -14365.07,2,In,7.46499,7.46499,9.970659999999999,-0.022959,-0.022959,0.030591,0.04460987158690327,118,P,2.5568315215711808,fx fy fz fmag nn1_dist ,
vv,vv_0_C3v_tdA_sc3k2cl_d0lda1.json,214,-739.5816939939991,-3.45599,In,P,107,107,50.0,50.0,-14365.07 1346.47 1346.47|1346.47 -14365.07 1346.47|1346.47 1346.47 -14365.07,3,In,13.06171,10.30399,7.44768,-0.024455,0.049516,0.04078,0.06865048929905743,107,P,2.5413767108596867,fx fy fz fmag ,
vv,vv_0_C3v_tdA_sc3k2cl_d0lda1.json,214,-739.5816939939991,-3.45599,In,P,107,107,50.0,50.0,-14365.07 1346.47 1346.47|1346.47 -14365.07 1346.47|1346.47 1346.47 -14365.07,4,In,13.06171,7.44768,10.30399,-0.024455,0.04078,0.049516,0.06865048929905743,108,P,2.5413767108596867,fx fy fz fmag ,
vv,vv_0_C3v_tdA_sc3k2cl_d0lda1.json,214,-739.5816939939991,-3.45599,In,P,107,107,50.0,50.0,-14365.07 1346.47 1346.47|1346.47 -14365.07 1346.47|1346.47 1346.47 -14365.07,5,In,10.30399,13.06171,7.44768,0.049516,-0.024455,0.04078,0.06865048929905743,107,P,2.5413767108596867,fx fy fz fmag ,
vv,vv_0_C3v_tdA_sc3k2cl_d0lda1.json,214,-739.5816939939991,-3.45599,In,P,107,107,50.0,50.0,-14365.07 1346.47 1346.47|1346.47 -14365.07 1346.47|1346.47 1346.47 -14365.07,6,In,10.30399,7.44768,13.06171,0.049516,0.04078,-0.024455,0.06865048929905744,108,P,2.5413767108596867,fx fy fz fmag ,
vv,vv_0_C3v_tdA_sc3k2cl_d0lda1.json,214,-739.5816939939991,-3.45599,In,P,107,107,50.0,50.0,-14365.07 1346.47 1346.47|1346.47 -14365.07 1346.47|1346.47 1346.47 -14365.07,7,In,7.44768,13.06171,10.30399,0.04078,-0.024455,0.049516,0.06865048929905743,109,P,2.5413767108596867,fx fy fz fmag ,
vv,vv_0_C3v_tdA_sc3k2cl_d0lda1.json,214,-739.5816939939991,-3.45599,In,P,107,107,50.0,50.0,-14365.07 1346.47 1346.47|1346.47 -14365.07 1346.47|1346.47 1346.47 -14365.07,8,In,7.44768,10.30399,13.06171,0.04078,0.049516,-0.024455,0.06865048929905744,109,P,2.5413767108596867,fx fy fz fmag ,
vv,vv_0_C3v_tdA_sc3k2cl_d0lda1.json,214,-739.5816939939991,-3.45599,In,P,107,107,50.0,50.0,-14365.07 1346.47 1346.47|1346.47 -14365.07 1346.47|1346.47 1346.47 -14365.07,9,In,10.24187,10.24187,4.425729999999999,0.003239,0.003239,0.008589,0.009734123638006659,110,P,2.5294065326672985,,
