atom_prop,elem,count,min,25%,50%,75%,max,range,median,mean,std,IQR,wh_hi,wh_lo,skew,kurt,units
fx,In,2033.0,-0.052286,-0.002319,0.000146,0.002782,0.050579,0.102865,0.000146,0.000257990162321692,0.007418517275429642,0.005101,0.0104335,-0.0099705,0.20588967239898143,12.378318027619278,eV_per_A
fy,In,2033.0,-0.052286,-0.002319,0.000146,0.002782,0.050579,0.102865,0.000146,0.0002579901623216921,0.007418517275429643,0.005101,0.0104335,-0.0099705,0.2058896723989813,12.378318027619269,eV_per_A
fz,In,2033.0,-0.052286,-0.002656,0.000151,0.002963,0.087808,0.140094,0.000151,0.0004913315297589769,0.008312867263112556,0.005619,0.0113915,-0.0110845,1.7783656264278624,21.176966010348846,eV_per_A
fmag,In,2033.0,7.101408311032397e-05,0.0031901775812640904,0.005754376942814921,0.009309590968458282,0.0971831876200817,0.09711217353697138,0.005754376942814921,0.008558124905062803,0.010308720685034349,0.006119413387194191,0.018488711049249568,-0.005988942499527197,3.8357777654901968,19.855502463529806,eV_per_A
nn1_dist,In,2033.0,2.470580581199487,2.5286632726007636,2.534457985191311,2.5367755767115057,2.5838982130107206,0.11331763181123344,2.534457985191311,2.531563010040178,0.011011418503327325,0.008112304110742041,2.5489440328776185,2.5164948164346503,-1.9542138782643579,11.16988122582499,A
fx,P,2033.0,-0.105215,-0.002788,-0.000262,0.0019,0.097793,0.20300800000000002,-0.000262,-0.00025799704869650754,0.008655604684180659,0.004688,0.008932,-0.00982,0.5145950404243018,51.99170542459006,eV_per_A
fy,P,2033.0,-0.105215,-0.002788,-0.000262,0.0019,0.097793,0.20300800000000002,-0.000262,-0.0002579970486965076,0.00865560468418066,0.004688,0.008932,-0.00982,0.5145950404243017,51.99170542459002,eV_per_A
fz,P,2033.0,-0.118524,-0.002977,-0.000309,0.002199,0.070884,0.18940800000000002,-0.000309,-0.000491333005410723,0.008420508289884726,0.005176,0.009963,-0.010741,-1.9072351553099929,47.51499695845809,eV_per_A
fmag,P,2033.0,9.179869280115049e-05,0.0030674489400803395,0.005334056148935817,0.009418326072078839,0.17005128586988102,0.16995948717707987,0.005334056148935817,0.008171467284492114,0.012422275310986662,0.006350877131998499,0.018944641770076587,-0.006458866757917409,7.083953618207413,65.23523466827984,eV_per_A
nn1_dist,P,2033.0,2.470580581199487,2.5294472433517963,2.534656659687857,2.5373454299129237,2.549213834145736,0.07863325294624879,2.534656659687857,2.531191594228585,0.012615011536150638,0.007898186561127396,2.5491927097546148,2.517599963510105,-3.037698734870031,10.57620324614095,A
